Route_ID,Route_Name,Action_Taken,New_Route_ID,Route_KM,OSRM_Duration_S,Cycle_Time_Min,Sharp_Turns,Junction_Penalty_Min,Fleet_Required,Total_Minibuses_Existing,Headway_Min,Population_Served,HV_POI_Count,Residential_Score,Commercial_Score,Composite_Demand_Score,Old_Wait_Time,New_Wait_Time,Overlap_Metric,Geo_Source,Fleet_Imputed,View_Map
R0362,JANIPUR ↔ BADYAL BRAHMNA VIA KULLIAN JASSORE,RETAINED_AS_FEEDER,FDR-018,4.331,359.2,19.5,5,2.5,2,1.0,15,38938,5,8990.53,1154.47,10145.0,20,15,0.2477,OSRM,True,"<a href=""route_maps/FDR-018.html"">View Map</a>"
R0363,JANIPUR ↔ GHO SANDWAN,RETAINED_AS_FEEDER,FDR-203,20.425,1771.5,78.3,9,4.5,6,3.0,15,108772,6,5325.43,293.76,5619.19,27,15,0.1132,OSRM,True,"<a href=""route_maps/FDR-203.html"">View Map</a>"
R0364,JANIPUR ↔ GHO SANDWAN,RETAINED_AS_FEEDER,FDR-204,20.425,1771.5,78.3,9,4.5,6,3.0,15,108772,6,5325.43,293.76,5619.19,27,15,0.1132,OSRM,True,"<a href=""route_maps/FDR-204.html"">View Map</a>"
R0365,JANIPUR ↔ NADI KHAPPAR,RETAINED_AS_FEEDER,FDR-302,44.684,2802.3,124.7,15,7.5,9,6.0,15,117220,9,2623.31,167.85,2791.16,21,15,0.1028,OSRM,True,"<a href=""route_maps/FDR-302.html"">View Map</a>"
R0366,JANIPUR ↔ MARJALI,RETAINED_AS_FEEDER,FDR-165,24.96,1526.4,66.6,7,3.5,5,4.0,15,148251,7,5939.54,280.45,6219.99,17,15,0.1362,OSRM,True,"<a href=""route_maps/FDR-165.html"">View Map</a>"
R0367,JANIPUR ↔ GHO SANDWAN,RETAINED_AS_FEEDER,FDR-205,20.425,1771.5,78.3,9,4.5,6,3.0,15,108772,6,5325.43,293.76,5619.19,27,15,0.1132,OSRM,True,"<a href=""route_maps/FDR-205.html"">View Map</a>"
R0369,JANIPUR ↔ KHAIRI REHAL,RETAINED_AS_FEEDER,FDR-309,22.592,1840.7,78.6,7,3.5,6,4.0,15,50535,6,2236.85,265.58,2502.43,20,15,0.0787,OSRM,True,"<a href=""route_maps/FDR-309.html"">View Map</a>"
R0373,JANIPUR ↔ SIMBAL CAMP,RETAINED_AS_FEEDER,FDR-209,23.419,1647.8,77.0,12,6.0,6,4.0,15,121266,10,5178.1,394.98,5573.08,20,15,0.168,OSRM,True,"<a href=""route_maps/FDR-209.html"">View Map</a>"
R0377,JANIPUR COLONEY ↔ SMAILPUR,RETAINED_AS_FEEDER,FDR-083,23.266,1509.4,69.4,10,5.0,5,4.0,15,178181,15,7658.43,580.25,8238.68,18,15,0.1918,OSRM,True,"<a href=""route_maps/FDR-083.html"">View Map</a>"
R0379,JANIPUR COLONY ↔ CHATTA,RETAINED_AS_FEEDER,FDR-180,16.669,1248.8,59.4,10,5.0,4,3.0,15,91793,7,5506.81,374.95,5881.76,20,15,0.1891,OSRM,True,"<a href=""route_maps/FDR-180.html"">View Map</a>"
R0380,JANIPUR COLONY ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-149,33.409,2679.7,122.3,17,8.5,9,5.0,15,199049,15,5957.95,404.08,6362.03,25,15,0.1642,OSRM,True,"<a href=""route_maps/FDR-149.html"">View Map</a>"
R0386,JANIPUR COLONY ↔ BARI BRAHMANA,RETAINED_AS_FEEDER,FDR-167,35.943,2860.1,131.5,19,9.5,9,5.0,15,210737,13,5863.09,340.82,6203.91,27,15,0.1582,OSRM,True,"<a href=""route_maps/FDR-167.html"">View Map</a>"
R0387,JANIPUR COLONY ↔ BARI BRAHMANA,RETAINED_AS_FEEDER,FDR-066,21.605,1607.2,75.4,12,6.0,6,3.0,15,172407,15,7979.96,624.86,8604.82,26,15,0.2048,OSRM,True,"<a href=""route_maps/FDR-066.html"">View Map</a>"
R0390,JANIPUR COLONY ↔ BARI BRAHMANA,RETAINED_AS_FEEDER,FDR-119,27.494,2138.8,96.9,13,6.5,7,4.0,15,185213,15,6736.49,491.02,7227.51,25,15,0.1847,OSRM,True,"<a href=""route_maps/FDR-119.html"">View Map</a>"
R0391,JANIPUR COLONY ↔ BARI BRAHMANA,RETAINED_AS_FEEDER,FDR-123,29.579,2202.9,100.5,14,7.0,7,4.0,15,197716,13,6684.34,414.15,7098.49,26,15,0.1811,OSRM,True,"<a href=""route_maps/FDR-123.html"">View Map</a>"
R0392,JANIPUR COLONY ↔ BARI BRAHMANA,RETAINED_AS_FEEDER,FDR-060,21.368,1544.4,70.7,10,5.0,5,3.0,15,172338,15,8065.24,631.79,8697.03,24,15,0.213,OSRM,True,"<a href=""route_maps/FDR-060.html"">View Map</a>"
