Old_Route_ID,Old_Name,Action_Taken,New_Route_ID,Residential_Score,Commercial_Score,Composite_Demand_Score,Overlap_Metric,Population_Served,Old_Wait_Time,New_Wait_Time,Fleet_Required,Route_KM,HV_POI_Count,Sharp_Turns,Junction_Penalty_Min,OSRM_Duration_S,Cycle_Time_Min,Geo_Source,Fleet_Imputed,Reasoning_String
R0054,AMPHALLA ↔ GANGYAL,RETAINED_AS_FEEDER,FDR-238,4469.29,472.3,4941.59,0.1723,87531,23,15,5,19.585,10,10,5.0,1429.3,66.3,OSRM,True,"Route R0054 (AMPHALLA ↔ GANGYAL) retained as Feeder FDR-238. Distinct catchment of 87,531 residents across 19.6 km (overlap 17.2%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 5 minibuses targets 15-min headway (from 23 min currently). Residential score 4469.3/km | Commercial score 472.3/km."
R0057,AMPHALLA ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-155,5815.23,510.42,6325.65,0.1528,176591,22,15,8,30.367,17,13,6.5,2448.7,108.8,OSRM,True,"Route R0057 (AMPHALLA ↔ BISHNAH) retained as Feeder FDR-155. Distinct catchment of 176,591 residents across 30.4 km (overlap 15.3%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 8 minibuses targets 15-min headway (from 22 min currently). Residential score 5815.2/km | Commercial score 510.4/km."
R0059,AMPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-107,6986.6,426.31,7412.91,0.098,57360,21,15,3,8.21,5,12,6.0,724.9,41.6,OSRM,True,"Route R0059 (AMPHALLA ↔ BATHINDI) retained as Feeder FDR-107. Distinct catchment of 57,360 residents across 8.2 km (overlap 9.8%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 3 minibuses targets 15-min headway (from 21 min currently). Residential score 6986.6/km | Commercial score 426.3/km."
R0060,AMPHALLA ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-163,5579.1,645.84,6224.94,0.1512,116620,18,15,4,20.903,15,6,3.0,1227.6,54.0,OSRM,True,"Route R0060 (AMPHALLA ↔ BISHNAH) retained as Feeder FDR-163. Distinct catchment of 116,620 residents across 20.9 km (overlap 15.1%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 4 minibuses targets 15-min headway (from 18 min currently). Residential score 5579.1/km | Commercial score 645.8/km."
R0066,AMPHALLA ↔ SIMBAL CAMP,RETAINED_AS_FEEDER,FDR-216,4897.44,528.76,5426.2,0.1493,104198,24,15,5,21.276,12,11,5.5,1541.7,71.7,OSRM,True,"Route R0066 (AMPHALLA ↔ SIMBAL CAMP) retained as Feeder FDR-216. Distinct catchment of 104,198 residents across 21.3 km (overlap 14.9%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 5 minibuses targets 15-min headway (from 24 min currently). Residential score 4897.4/km | Commercial score 528.8/km."
R0067,AMPHALLA ↔ BARUIE KARWAL,RETAINED_AS_FEEDER,FDR-280,3337.12,441.81,3778.93,0.1329,62314,20,15,4,18.673,9,2,1.0,1440.3,57.5,OSRM,True,"Route R0067 (AMPHALLA ↔ BARUIE KARWAL) retained as Feeder FDR-280. Distinct catchment of 62,314 residents across 18.7 km (overlap 13.3%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 4 minibuses targets 15-min headway (from 20 min currently). Residential score 3337.1/km | Commercial score 441.8/km."
R0068,AMPHALLA ↔ SUNJWAN,RETAINED_AS_FEEDER,FDR-164,5949.37,272.63,6222.0,0.0666,76378,32,15,5,12.838,5,13,6.5,1278.9,64.0,OSRM,True,"Route R0068 (AMPHALLA ↔ SUNJWAN) retained as Feeder FDR-164. Distinct catchment of 76,378 residents across 12.8 km (overlap 6.7%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 5 minibuses targets 15-min headway (from 32 min currently). Residential score 5949.4/km | Commercial score 272.6/km."
R0069,AMPHALLA ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,FDR-013,9348.96,1434.68,10783.64,0.2292,76568,17,15,3,8.19,14,8,4.0,622.3,33.1,OSRM,True,"Route R0069 (AMPHALLA ↔ TRIKUTA NAGAR) retained as Feeder FDR-013. Distinct catchment of 76,568 residents across 8.2 km (overlap 22.9%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 3 minibuses targets 15-min headway (from 17 min currently). Residential score 9349.0/km | Commercial score 1434.7/km."
R0071,AMPHALLA ↔ BOHRI,RETAINED_AS_FEEDER,FDR-010,9783.22,1238.72,11021.94,0.1826,55285,22,15,2,5.651,7,4,2.0,444.4,21.6,OSRM,True,"Route R0071 (AMPHALLA ↔ BOHRI) retained as Feeder FDR-010. Distinct catchment of 55,285 residents across 5.7 km (overlap 18.3%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 2 minibuses targets 15-min headway (from 22 min currently). Residential score 9783.2/km | Commercial score 1238.7/km."
R0073,AMPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-051,8512.92,516.61,9029.53,0.1013,57675,22,15,2,6.775,5,3,1.5,468.6,21.4,OSRM,True,"Route R0073 (AMPHALLA ↔ BATHINDI) retained as Feeder FDR-051. Distinct catchment of 57,675 residents across 6.8 km (overlap 10.1%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 2 minibuses targets 15-min headway (from 22 min currently). Residential score 8512.9/km | Commercial score 516.6/km."
